Date;Closing price
1999-06-03;788.37
1999-06-04;794.28
1999-06-07;806.08
1999-06-08;805.76
1999-06-09;817.11
1999-06-10;808.36
1999-06-11;821.17
1999-06-14;819.5
1999-06-15;810.67
1999-06-16;820.41
1999-06-17;817.95
1999-06-18;832.33
1999-06-21;840.98
1999-06-22;836.69
1999-06-23;830.92
1999-06-24;830.57
1999-06-28;832.12
1999-06-29;837.97
1999-06-30;829.14
1999-07-01;837.16
1999-07-02;846.99
1999-07-05;852.78
1999-07-06;847.59
1999-07-07;826.01
1999-07-08;824.51
1999-07-09;830.88
1999-07-12;834.07
1999-07-13;821.21
1999-07-14;822.43
1999-07-15;831.37
1999-07-16;826.16
1999-07-19;831.69
1999-07-20;823.47
1999-07-21;815.51
1999-07-22;803.85
1999-07-23;809.95
1999-07-26;812.83
1999-07-27;816.56
1999-07-28;826
1999-07-29;811.09
1999-07-30;823.27
1999-08-02;818.69
1999-08-03;813.17
1999-08-04;810.05
1999-08-05;794.53
1999-08-06;801.38
1999-08-09;813.18
1999-08-10;802.04
1999-08-11;811.06
1999-08-12;826.86
1999-08-13;831.56
1999-08-16;834.67
1999-08-17;837.29
1999-08-18;837.88
1999-08-19;828.46
1999-08-20;844.84
1999-08-23;858.78
1999-08-24;856.52
1999-08-25;864.32
1999-08-26;867.05
1999-08-27;865.95
1999-08-30;855.74
1999-08-31;836.92
1999-09-01;840.79
1999-09-02;832.28
1999-09-03;851.83
1999-09-06;860.41
1999-09-07;853.8
1999-09-08;846.14
1999-09-09;845.76
1999-09-10;851.87
1999-09-13;848.19
1999-09-14;846.12
1999-09-15;834.85
1999-09-16;833.31
1999-09-17;839.55
1999-09-20;848.31
1999-09-21;845.65
1999-09-22;838.81
1999-09-23;844.85
1999-09-24;835.39
1999-09-27;845.73
1999-09-28;841.59
1999-09-29;831.75
1999-09-30;832.34
1999-10-01;835.09
1999-10-04;838.29
1999-10-05;839.29
1999-10-06;849.33
1999-10-07;858.17
1999-10-08;866.99
1999-10-11;871.66
1999-10-12;863.45
1999-10-13;855.63
1999-10-14;851.55
1999-10-15;836.56
1999-10-18;827.4
1999-10-19;844.45
1999-10-20;843.27
1999-10-21;840.14
1999-10-22;873.32
1999-10-25;875.63
1999-10-26;888.38
1999-10-27;890.81
1999-10-28;903.65
1999-10-29;923
1999-11-01;921.37
1999-11-02;923.78
1999-11-03;926.42
1999-11-04;944.02
1999-11-05;943.84
1999-11-08;955.68
1999-11-09;948.57
1999-11-10;962.01
1999-11-11;978.36
1999-11-12;974.46
1999-11-15;989.18
1999-11-16;998.35
1999-11-17;1012.62
1999-11-18;1037.99
1999-11-19;1019.58
1999-11-22;1012.03
1999-11-23;1015.57
1999-11-24;1010.46
1999-11-25;1028
1999-11-26;1041.31
1999-11-29;1048.05
1999-11-30;1030.97
1999-12-01;1057.16
1999-12-02;1070.29
1999-12-03;1095.64
1999-12-06;1108.08
1999-12-07;1111.47
1999-12-08;1176.13
1999-12-09;1140.9
1999-12-10;1126.03
1999-12-13;1131.62
1999-12-14;1143.07
1999-12-15;1112.77
1999-12-16;1120.01
1999-12-17;1131.42
1999-12-20;1125.17
1999-12-21;1121.2
1999-12-22;1134
1999-12-23;1151.47
1999-12-27;1154.56
1999-12-28;1169.01
1999-12-29;1183.11
1999-12-30;1198.97
2000-01-03;1211.79
2000-01-04;1182.03
2000-01-05;1131.3
2000-01-07;1152.54
2000-01-10;1184.77
2000-01-11;1190.34
2000-01-12;1190.15
2000-01-13;1195.48
2000-01-14;1217.95
2000-01-17;1245.69
2000-01-18;1215.4
2000-01-19;1213.77
2000-01-20;1217.73
2000-01-21;1218.19
2000-01-24;1229.51
2000-01-25;1215.41
2000-01-26;1226.31
2000-01-27;1214.75
2000-01-28;1245.99
2000-01-31;1220.23
2000-02-01;1261.15
2000-02-02;1313.84
2000-02-03;1318.61
2000-02-04;1329.3
2000-02-07;1349.28
2000-02-08;1356.27
2000-02-09;1363.34
2000-02-10;1371.14
2000-02-11;1379.14
2000-02-14;1350.31
2000-02-15;1309.94
2000-02-16;1343.31
2000-02-17;1352.06
2000-02-18;1371.35
2000-02-21;1376.3
2000-02-22;1347.83
2000-02-23;1365.03
2000-02-24;1379.84
2000-02-25;1427.61
2000-02-28;1432.47
2000-02-29;1433.08
2000-03-01;1463.75
2000-03-02;1515.62
2000-03-03;1530.02
2000-03-06;1537.33
2000-03-07;1539
2000-03-08;1480.78
2000-03-09;1481.87
2000-03-10;1504.02
2000-03-13;1466.58
2000-03-14;1466.87
2000-03-15;1409.77
2000-03-16;1407.84
2000-03-17;1444.19
2000-03-20;1490.38
2000-03-21;1479.51
2000-03-22;1496.01
2000-03-23;1467.11
2000-03-24;1478.75
2000-03-27;1473.53
2000-03-28;1440.67
2000-03-29;1427.88
2000-03-30;1387.21
2000-03-31;1383.66
2000-04-03;1368.99
2000-04-04;1359.11
2000-04-05;1320.59
2000-04-06;1386.93
2000-04-07;1408.66
2000-04-10;1414.2
2000-04-11;1368.65
2000-04-12;1340.84
2000-04-13;1312.51
2000-04-14;1275.73
2000-04-17;1291.18
2000-04-18;1325.83
2000-04-19;1367.19
2000-04-20;1347.91
2000-04-25;1348.83
2000-04-26;1379.09
2000-04-27;1403.81
2000-04-28;1429.61
2000-05-02;1462.53
2000-05-03;1425.97
2000-05-04;1439.33
2000-05-05;1440.19
2000-05-08;1411.02
2000-05-09;1398.63
2000-05-10;1359.32
2000-05-11;1358.68
2000-05-12;1384.06
2000-05-15;1369.1
2000-05-16;1428.89
2000-05-17;1416.34
2000-05-18;1429.04
2000-05-19;1369.62
2000-05-22;1314.11
2000-05-23;1352.05
2000-05-24;1292.45
2000-05-25;1341.38
2000-05-26;1315.76
2000-05-29;1325.02
2000-05-30;1366.54
2000-05-31;1377.15
2000-06-02;1442.36
2000-06-05;1421.87
2000-06-06;1425.15
2000-06-07;1415.06
2000-06-08;1422.34
2000-06-09;1420.32
2000-06-13;1375.37
2000-06-14;1368.32
2000-06-15;1341.54
2000-06-16;1338.09
2000-06-19;1322.63
2000-06-20;1381.55
2000-06-21;1362.56
2000-06-22;1339.23
2000-06-26;1331.64
2000-06-27;1305.73
2000-06-28;1332.49
2000-06-29;1284.46
2000-06-30;1315.1
2000-07-03;1342.75
2000-07-04;1353.57
2000-07-05;1336.25
2000-07-06;1338.48
2000-07-07;1374.03
2000-07-10;1376
2000-07-11;1361.53
2000-07-12;1380.09
2000-07-13;1406.37
2000-07-14;1420.35
2000-07-17;1444.24
2000-07-18;1416.46
2000-07-19;1397.78
2000-07-20;1425.53
2000-07-21;1352.48
2000-07-24;1359.72
2000-07-25;1345.8
2000-07-26;1342.41
2000-07-27;1307.02
2000-07-28;1300.32
2000-07-31;1320.12
2000-08-01;1310.55
2000-08-02;1299.32
2000-08-03;1255.5
2000-08-04;1260.99
2000-08-07;1281.48
2000-08-08;1287.62
2000-08-09;1306.11
2000-08-10;1289.49
2000-08-11;1268.35
2000-08-14;1290.59
2000-08-15;1280.37
2000-08-16;1300.13
2000-08-17;1311.32
2000-08-18;1311.31
2000-08-21;1311.89
2000-08-22;1332.56
2000-08-23;1321.87
2000-08-24;1316.21
2000-08-25;1321.9
2000-08-28;1324.57
2000-08-29;1314.27
2000-08-30;1318.51
2000-08-31;1336.87
2000-09-01;1358.26
2000-09-04;1377.94
2000-09-05;1372.25
2000-09-06;1360.06
2000-09-07;1361.26
2000-09-08;1328.63
2000-09-11;1318.47
2000-09-12;1322.18
2000-09-13;1301.54
2000-09-14;1333.16
2000-09-15;1307.86
2000-09-18;1293.62
2000-09-19;1304.03
2000-09-20;1289.05
2000-09-21;1256.24
2000-09-22;1254.54
2000-09-25;1273.78
2000-09-26;1248.96
2000-09-27;1243.76
2000-09-28;1222.92
2000-09-29;1218.17
2000-10-02;1234.04
2000-10-03;1243.39
2000-10-04;1227.18
2000-10-05;1239.63
2000-10-06;1225.05
2000-10-09;1184.94
2000-10-10;1190.36
2000-10-11;1147.94
2000-10-12;1162.79
2000-10-13;1170.74
2000-10-16;1192.04
2000-10-17;1174.52
2000-10-18;1113.67
2000-10-19;1179.78
2000-10-20;1135.52
2000-10-23;1120.8
2000-10-24;1175.23
2000-10-25;1152.13
2000-10-26;1148.59
2000-10-27;1158.84
2000-10-30;1151.67
2000-10-31;1179.31
2000-11-01;1190.41
2000-11-02;1190.17
2000-11-03;1197.53
2000-11-06;1186.32
2000-11-07;1174.33
2000-11-08;1173.84
2000-11-09;1153.26
2000-11-10;1123.61
2000-11-13;1103.01
2000-11-14;1134.39
2000-11-15;1152.58
2000-11-16;1139.13
2000-11-17;1128.64
2000-11-20;1125.22
2000-11-21;1120.99
2000-11-22;1082.75
2000-11-23;1086.63
2000-11-24;1112.64
2000-11-27;1126
2000-11-28;1112.31
2000-11-29;1111.37
2000-11-30;1095.43
2000-12-01;1119.94
2000-12-04;1092.27
2000-12-05;1127.85
2000-12-06;1140.93
2000-12-07;1123.14
2000-12-08;1134.46
2000-12-11;1160.72
2000-12-12;1148.28
2000-12-13;1130.89
2000-12-14;1115.71
2000-12-15;1093.19
2000-12-18;1081.41
2000-12-19;1099.73
2000-12-20;1047.74
2000-12-21;1050.07
2000-12-22;1046.51
2000-12-27;1059.6
2000-12-28;1065.78
2000-12-29;1056.11
2001-01-02;1041.66
2001-01-03;997.44
2001-01-04;1065.53
2001-01-05;1072
2001-01-08;1066.05
2001-01-09;1042.47
2001-01-10;1032.67
2001-01-11;1056.39
2001-01-12;1072.66
